dataset,embodiment,text
bridge,widowx,put small spoon from basket to tray
bridge,widowx,put the blue cube on the right side of the table on top of the rectangular block
bridge,widowx,put the red object into the pot
bridge,widowx,put the rectangle block on top of the red arch and yellow block
bridge,widowx,
bridge,widowx,take broccoli out of pan
bridge,widowx,Picked the piece of chocolate and put it into the drawer
bridge,widowx,Move the blue fork to the lower right burner
bridge,widowx,open the drawer
bridge,widowx,Move the can in the middle bottom of the table
bridge,widowx,end effector reaching pot or pan
bridge,widowx,bmbfbbfgjjg
bridge,widowx,move the silver pot to the lower right burner
bridge,widowx,sweep into pile
bridge,widowx,move the pot put on the purple cloth
bridge,widowx,fold the cloth from bottom left to top right
bridge,widowx,end effector reaching stuffedrabbit
bridge,widowx,Put a hollow cylinder through a cylinder
bridge,widowx,fold from left to the right
bridge,widowx,put broccoli in pot
bridge,widowx,take the yellow cube and move in to the left
bridge,widowx,put a black figure on the top left corner of the cloth
bridge,widowx,Move the silver container and place it on the blue cloth.
bridge,widowx,Put the blue fork on top of the napkin
bridge,widowx,put clothes in laundry machine
bridge,widowx,move the triangular to right side of the table from the block.
bridge,widowx,move the silver pan to the burner on the bottom left
bridge,widowx,put spatula on cutting board
bridge,widowx,Put the yellow cloth to the left of the pot.
bridge,widowx,close oven
bridge,widowx,Place the pot on the blue cloth.
bridge,widowx,close microwave
bridge,widowx,move green spoon on the bottom of the table
bridge,widowx,take lid off pot
bridge,widowx,move the yellow brush to the right burner
bridge,widowx,open oven
bridge,widowx,Move the stirring spoon to the edge of the table.
bridge,widowx,unfold the cloth from bottom to top
bridge,widowx,the robotic arm did not move
bridge,widowx,put cup from anywhere into sink
bridge,widowx,end effector transition from object to object
bridge,widowx,open microwave
bridge,widowx,put pot or pan on stove and put potato in pot or pan
bridge,widowx,Move the towel to the bottom left just under the pot
bridge,widowx,moved the cloth to the top edge of the table
bridge,widowx,unfold the cloth from right to left
bridge,widowx,Open the drawer
bridge,widowx,move the cloth from bottom to top
bridge,widowx,put the rectangle block on top of the written rectangle block
bridge,widowx,fold the cloth from top left to bottom right
bridge,widowx,put spatula in pan
bridge,widowx,Put the potato inside the pot
bridge,widowx,move the silver pot to the upper right edge of the stove.
bridge,widowx,Pick up the brush and place it on the left of the red fruit
bridge,widowx,put pear in bowl
bridge,widowx,move the orange cloth to the upper right of the table
bridge,widowx,Placed the orange object on top of the purple towel
bridge,widowx,remove yellow cube from the tower and place it on the table
bridge,widowx,put sushi on plate
bridge,widowx,Pick up the broccoli and place it on the blue cloth
bridge,widowx,pick up the white object
bridge,widowx,Place the white vegetable in front of the silver bowl.
bridge,widowx,moved the pot from the upper right burner to the lower right burner
bridge,widowx,Move the pot to the right side of the towel
bridge,widowx,put pan in sink
bridge,widowx,moved the baguette to the bottom right of the table
bridge,widowx,Move the gray item towards the bottom of counter.
bridge,widowx,Put the green spatula above the blue cloth
bridge,widowx,Move the cooking utensil to the left of the pot.
bridge,widowx,put knife in pot cardboard fence
bridge,widowx,take the silver object  and put it above of the bottom left burner
bridge,widowx,move the sliver pot lid to the upper right burner
bridge,widowx,Move the yellow cloth to the right side of the red pepper.
bridge,widowx,put the cucumber over the drawer
bridge,widowx,move cube from tower on right side of the table
bridge,widowx,Move the fork to bottom left of table
bridge,widowx,move the blue brush to the right of the blue cloth
bridge,widowx,pick the red pot and put it onto the yellow towel
bridge,widowx,pick up pot from sink
bridge,widowx,unfold the cloth from top left to bottom left
bridge,widowx,turn faucet front to left
bridge,widowx,moved to the side
bridge,widowx,Pick up the green bell pepper and place it on the blue cloth
bridge,widowx,pute the cupe to right on the the table
bridge,widowx,put brush into pot or pan
bridge,widowx,move light switch to the right
bridge,widowx,put banana on plate
bridge,widowx,Place the fork onto the purple towel
bridge,widowx,move the cloth to the left of the table
bridge,widowx,put the yellow cloth in the machine
bridge,widowx,put the yellow duck in the drawer
bridge,widowx,put the green cube on top of  blue block
bridge,widowx,put the red object in the sink
bridge,widowx,put the light blue cube on the right side of the red spoon
bridge,widowx,move the green cloth from left side to right side
bridge,widowx,move the cloth to the right of the burner
